"","Yr","Player","allstar"
"1",1951,"Paul Arizin",1
"2",1951,"Vince Boryla",1
"3",1951,"Bob Cousy",1
"4",1951,"Joe Fulks",1
"5",1951,"Harry Gallatin",1
"6",1951,"Ed Macauley",1
"7",1951,"Dick McGuire",1
"8",1951,"Andy Phillip",1
"9",1951,"Red Rocha",1
"10",1951,"Dolph Schayes",1
"11",1951,"Ralph Beard",1
"12",1951,"Frankie Brian",1
"13",1951,"Bob Davies",1
"14",1951,"Dike Eddleman",1
"15",1951,"Larry Foust",1
"16",1951,"Alex Groza",1
"17",1951,"George Mikan",1
"18",1951,"Vern Mikkelsen",1
"19",1951,"Jim Pollard",1
"20",1951,"Fred Schaus",1
"21",1952,"Paul Arizin",1
"22",1952,"Bob Cousy",1
"23",1952,"Joe Fulks",1
"24",1952,"Harry Gallatin",1
"25",1952,"Ed Macauley",1
"26",1952,"Dick McGuire",1
"27",1952,"Andy Phillip",1
"28",1952,"Red Rocha",1
"29",1952,"Dolph Schayes",1
"30",1952,"Fred Scolari",1
"31",1952,"Max Zaslofsky",1
"32",1952,"Leo Barnhorst",1
"33",1952,"Frankie Brian",1
"34",1952,"Bob Davies",1
"35",1952,"Dike Eddleman",1
"36",1952,"Larry Foust",1
"37",1952,"George Mikan",1
"38",1952,"Vern Mikkelsen",1
"39",1952,"Jim Pollard",1
"40",1952,"Arnie Risen",1
"41",1952,"Paul Walther",1
"42",1952,"Bobby Wanzer",1
"43",1953,"Don Barksdale",1
"44",1953,"Carl Braun",1
"45",1953,"Bob Cousy",1
"46",1953,"Bill Gabor",1
"47",1953,"Harry Gallatin",1
"48",1953,"Neil Johnston",1
"49",1953,"Ed Macauley",1
"50",1953,"Dolph Schayes",1
"51",1953,"Fred Scolari",1
"52",1953,"Paul Seymour",1
"53",1953,"Bill Sharman",1
"54",1953,"Leo Barnhorst",1
"55",1953,"Bob Davies",1
"56",1953,"Larry Foust",1
"57",1953,"Mel Hutchins",1
"58",1953,"Slater Martin",1
"59",1953,"George Mikan",1
"60",1953,"Vern Mikkelsen",1
"61",1953,"Andy Phillip",1
"62",1953,"Arnie Risen",1
"63",1953,"Bobby Wanzer",1
"64",1954,"Carl Braun",1
"65",1954,"Bob Cousy",1
"66",1954,"Ray Felix",1
"67",1954,"Harry Gallatin",1
"68",1954,"Neil Johnston",1
"69",1954,"Ed Macauley",1
"70",1954,"Dick McGuire",1
"71",1954,"Dolph Schayes",1
"72",1954,"Paul Seymour",1
"73",1954,"Bill Sharman",1
"74",1954,"Bob Davies",1
"75",1954,"Larry Foust",1
"76",1954,"Mel Hutchins",1
"77",1954,"Slater Martin",1
"78",1954,"George Mikan",1
"79",1954,"Jack Molinas",1
"80",1954,"Andy Phillip",1
"81",1954,"Jim Pollard",1
"82",1954,"Arnie Risen",1
"83",1954,"Don Sunderlage",1
"84",1954,"Bobby Wanzer",1
"85",1955,"Paul Arizin",1
"86",1955,"Carl Braun",1
"87",1955,"Bob Cousy",1
"88",1955,"Harry Gallatin",1
"89",1955,"Neil Johnston",1
"90",1955,"Ed Macauley",1
"91",1955,"Dick McGuire",1
"92",1955,"Dolph Schayes",1
"93",1955,"Paul Seymour",1
"94",1955,"Bill Sharman",1
"95",1955,"Jack Coleman",1
"96",1955,"Larry Foust",1
"97",1955,"Slater Martin",1
"98",1955,"Vern Mikkelsen",1
"99",1955,"Bob Pettit",1
"100",1955,"Andy Phillip",1
"101",1955,"Jim Pollard",1
"102",1955,"Arnie Risen",1
"103",1955,"Frank Selvy",1
"104",1955,"Bobby Wanzer",1
"105",1955,"George Yardley",1
"106",1956,"Paul Arizin",1
"107",1956,"Carl Braun",1
"108",1956,"Bob Cousy",1
"109",1956,"Harry Gallatin",1
"110",1956,"Jack George",1
"111",1956,"Neil Johnston",1
"112",1956,"Red Kerr",1
"113",1956,"Ed Macauley",1
"114",1956,"Dick McGuire",1
"115",1956,"Dolph Schayes",1
"116",1956,"Bill Sharman",1
"117",1956,"Larry Foust",1
"118",1956,"Bob Harrison",1
"119",1956,"Mel Hutchins",1
"120",1956,"Clyde Lovellette",1
"121",1956,"Slater Martin",1
"122",1956,"Vern Mikkelsen",1
"123",1956,"Bob Pettit",1
"124",1956,"Maurice Stokes",1
"125",1956,"Bobby Wanzer",1
"126",1956,"George Yardley",1
"127",1957,"Paul Arizin",1
"128",1957,"Carl Braun",1
"129",1957,"Nat Clifton",1
"130",1957,"Bob Cousy",1
"131",1957,"Harry Gallatin",1
"132",1957,"Jack George",1
"133",1957,"Tom Heinsohn",1
"134",1957,"Neil Johnston",1
"135",1957,"Dolph Schayes",1
"136",1957,"Bill Sharman",1
"137",1957,"Dick Garmaker",1
"138",1957,"Mel Hutchins",1
"139",1957,"Clyde Lovellette",1
"140",1957,"Ed Macauley",1
"141",1957,"Slater Martin",1
"142",1957,"Vern Mikkelsen",1
"143",1957,"Bob Pettit",1
