"","Yr","Player"
"1",1993,"Brad Daugherty"
"2",1993,"Joe Dumars"
"3",1993,"Patrick Ewing"
"4",1993,"Larry Johnson"
"5",1993,"Michael Jordan"
"6",1993,"Larry Nance"
"7",1993,"Shaquille O'Neal"
"8",1993,"Scottie Pippen"
"9",1993,"Mark Price"
"10",1993,"Detlef Schrempf"
"11",1993,"Isiah Thomas"
"12",1993,"Dominique Wilkins"
"13",1993,"Charles Barkley"
"14",1993,"Clyde Drexler"
"15",1993,"Sean Elliott"
"16",1993,"Tim Hardaway"
"17",1993,"Shawn Kemp"
"18",1993,"Dan Majerle"
"19",1993,"Karl Malone"
"20",1993,"Danny Manning"
"21",1993,"Chris Mullin"
"22",1993,"Hakeem Olajuwon"
"23",1993,"Terry Porter"
"24",1993,"Mitch Richmond"
"25",1993,"David Robinson"
"26",1993,"John Stockton"
