"","Player","Yr","PTS","TRB","AST","G","MP","3P","3PA","3P%","2P","2PA","2P%","PER","WS","OWS","DWS","TS%","FTr"
"1","Kareem Abdul-Jabbar*",1986,"1846","478","280","79","2629","0","2","0","755","1336","0.565","22.7","10.8","7.6","3.2","0.603","0.328"
"2","Alvan Adams",1986,"841","477","324","78","2005","0","2","0","341","677","0.504","15.3","3.9","1.2","2.7","0.547","0.299"
"3","Michael Adams",1986,"40","6","22","18","139","0","3","0","16","41","0.39","8","-0.1","-0.2","0.1","0.406","0.273"
"4","Mark Aguirre",1986,"1670","445","339","74","2501","16","56","0.286","652","1271","0.513","19.2","4.7","3.7","0.9","0.547","0.34"
"5","Danny Ainge",1986,"855","235","405","80","2407","26","73","0.356","327","628","0.521","13.6","6.8","3.6","3.2","0.562","0.194"
"6","Ron Anderson",1986,"707","274","144","77","1676","2","9","0.222","308","619","0.498","14","3.1","1.6","1.5","0.517","0.202"
"7","John Bagley",1986,"911","275","735","78","2472","9","37","0.243","357","828","0.431","15.2","3","1","2","0.475","0.249"
"8","James Bailey",1986,"533","334","50","48","1245","0","4","0","202","439","0.46","12.6","1.9","0","2","0.516","0.377"
"9","Thurl Bailey",1986,"1196","493","153","82","2358","0","7","0","483","1070","0.451","15","4","1","3","0.499","0.257"
"10","Greg Ballard",1986,"662","417","83","75","1792","17","35","0.486","255","535","0.477","13.4","3.6","2.6","1","0.529","0.221"
"11","Gene Banks",1986,"895","360","251","82","2139","0","19","0","356","669","0.532","15.5","4.3","3.7","0.6","0.559","0.371"
"12","Ken Bannister",1986,"601","322","42","70","1405","0","1","0","235","478","0.492","10.4","0.7","-1.3","2","0.511","0.52"
"13","Charles Barkley*",1986,"1603","1026","312","80","2952","17","75","0.227","578","966","0.598","22.4","10.8","5.4","5.5","0.619","0.555"
"14","John Battle",1986,"277","62","74","64","639","0","7","0","101","215","0.47","11.7","1","0.4","0.6","0.518","0.464"
"15","Benoit Benjamin",1986,"878","600","79","79","2088","1","3","0.333","323","658","0.491","16.1","4","1.7","2.3","0.551","0.464"
"16","Kent Benson",1986,"469","376","80","72","1344","1","2","0.5","200","413","0.484","13.8","3.2","1.4","1.9","0.519","0.2"
"17","Larry Bird*",1986,"2115","805","557","82","3113","82","194","0.423","714","1412","0.506","25.6","15.8","9.6","6.2","0.58","0.306"
"18","Otis Birdsong",1986,"1214","202","261","77","2395","8","22","0.364","534","1034","0.516","13.4","3.2","1.4","1.8","0.529","0.199"
"19","Uwe Blab",1986,"124","91","17","48","409","0","0","0","44","94","0.468","7.6","0.1","-0.1","0.2","0.502","0.713"
"20","Rolando Blackman",1986,"1762","291","271","82","2787","4","29","0.138","673","1289","0.522","19","7","6.2","0.8","0.576","0.366"
"21","Manute Bol",1986,"298","477","23","80","2090","0","1","0","128","277","0.462","11.2","3.9","-0.4","4.2","0.472","0.309"
"22","Sam Bowie",1986,"448","327","99","38","1132","0","0","0","167","345","0.484","15.2","2.4","0.9","1.5","0.539","0.467"
"23","Dudley Bradley",1986,"195","95","107","70","842","17","68","0.25","56","141","0.397","10.2","1","-0.5","1.5","0.417","0.268"
"24","Mike Bratz",1986,"70","23","39","33","269","4","14","0.286","22","56","0.393","6.9","0.1","-0.1","0.2","0.449","0.257"
"25","Randy Breuer",1986,"685","458","114","82","1792","0","1","0","272","569","0.478","14.1","4.5","1.2","3.3","0.521","0.347"
"26","Ron Brewer",1986,"211","53","40","44","570","5","17","0.294","81","207","0.391","8.8","0.1","-0.2","0.3","0.438","0.17"
"27","Frank Brickowski",1986,"78","54","21","40","311","0","0","0","30","58","0.517","7.1","0.4","0","0.4","0.558","0.466"
"28","Junior Bridgeman",1986,"510","123","108","58","1161","6","18","0.333","193","433","0.446","12","0.8","0.7","0.1","0.507","0.264"
"29","Mike Brittain",1986,"54","49","5","32","219","0","0","0","22","43","0.512","4.4","0","-0.3","0.2","0.526","0.442"
"30","Tony Brown",1986,"45","16","14","10","132","0","2","0","18","39","0.462","11.5","0.2","0.1","0","0.482","0.317"
"31","Wallace Bryant",1986,"41","53","15","17","218","0","0","0","15","48","0.313","5.9","0","-0.2","0.1","0.364","0.396"
"32","Quinn Buckner",1986,"117","51","86","32","419","0","1","0","49","103","0.476","9.9","0.2","-0.6","0.7","0.505","0.26"
"33","Michael Cage",1986,"521","417","81","78","1566","0","3","0","204","423","0.482","12.3","1.7","0.7","1","0.518","0.408"
"34","Tony Campbell",1986,"648","236","45","82","1292","2","9","0.222","292","599","0.487","12.6","1.4","0.1","1.3","0.506","0.12"
"35","Rick Carlisle",1986,"199","77","104","77","760","0","10","0","92","179","0.514","7.9","0.9","0","0.9","0.5","0.122"
"36","Antoine Carr",1986,"116","52","14","17","258","0","0","0","49","93","0.527","14.4","0.7","0.3","0.4","0.553","0.29"
"37","Kenny Carr",1986,"613","492","70","55","1557","0","4","0","232","462","0.502","13.3","3.1","1.3","1.7","0.546","0.466"
"38","Joe Barry Carroll",1986,"1677","670","176","79","2801","0","2","0","650","1402","0.464","17.2","3.4","1.1","2.4","0.516","0.357"
"39","Butch Carter",1986,"20","4","4","9","67","0","1","0","7","23","0.304","-1.3","-0.2","-0.2","0","0.369","0.292"
"40","Bill Cartwright",1986,"12","10","5","2","36","0","0","0","3","7","0.429","8.9","0","-0.1","0.1","0.526","1.429"
"41","Terry Catledge",1986,"494","272","21","64","1092","0","4","0","202","427","0.473","12.6","1.7","0.6","1.1","0.502","0.323"
"42","Bobby Cattage",1986,"92","34","4","29","185","1","5","0.2","27","78","0.346","9.8","0.1","-0.1","0.2","0.449","0.53"
"43","Tom Chambers",1986,"1223","431","132","66","2019","13","48","0.271","419","880","0.476","17.1","4.8","2.4","2.5","0.551","0.446"
"44","Lorenzo Charles",1986,"122","39","8","36","273","0","0","0","49","88","0.557","11.5","0.5","0.3","0.2","0.587","0.409"
"45","Maurice Cheeks*",1986,"1266","235","753","82","3270","4","17","0.235","486","896","0.542","17.9","10.6","7.2","3.4","0.597","0.367"
"46","Fred Cofield",1986,"165","46","82","45","469","3","15","0.2","72","169","0.426","7.9","-0.4","-0.9","0.6","0.428","0.109"
"47","Steve Colter",1986,"706","177","257","81","1868","27","83","0.325","245","514","0.477","12.7","3.3","1.6","1.7","0.528","0.275"
"48","Lester Conner",1986,"144","62","43","36","413","2","7","0.286","49","129","0.38","12.8","0.5","0.3","0.2","0.451","0.397"
"49","Darwin Cook",1986,"629","177","390","79","1965","11","53","0.208","256","574","0.446","13.1","3","0.5","2.6","0.465","0.177"
"50","Jeff Cook",1986,"89","86","21","36","373","0","1","0","31","72","0.431","9.3","0.6","0.2","0.4","0.486","0.575"
"51","David Cooke",1986,"9","10","1","6","38","0","0","0","2","11","0.182","6.7","0","-0.1","0.1","0.292","0.909"
"52","Michael Cooper",1986,"758","244","466","82","2269","63","163","0.387","211","443","0.476","13.5","5.8","3.4","2.4","0.557","0.281"
"53","Wayne Cooper",1986,"1021","610","81","78","2112","3","7","0.429","419","899","0.466","16.3","5.1","1.6","3.5","0.509","0.242"
"54","Tyrone Corbin",1986,"64","25","11","16","174","0","1","0","27","63","0.429","9.7","0.1","-0.1","0.2","0.456","0.219"
"55","Dave Corzine",1986,"640","433","150","67","1709","3","12","0.25","252","507","0.497","14.6","2.9","2","0.9","0.539","0.329"
"56","Ron Crevier",1986,"0","1","0","3","4","0","0","0","0","3","0","-31.7","-0.1","-0.1","0","0","0.667"
"57","Jeff Cross",1986,"26","30","1","21","128","0","0","0","6","24","0.25","1.5","-0.1","-0.2","0.1","0.371","1.042"
"58","Pat Cummings",1986,"487","280","47","31","1007","0","2","0","195","406","0.48","14","1.5","0","1.5","0.519","0.341"
"59","Terry Cummings",1986,"1627","694","193","82","2669","0","2","0","681","1436","0.474","18.2","7.4","2.5","4.9","0.503","0.281"
"60","Earl Cureton",1986,"687","504","137","80","2017","0","2","0","285","562","0.507","11.7","2.6","0.5","2.1","0.523","0.374"
"61","Quintin Dailey",1986,"569","68","67","35","723","0","8","0","203","462","0.439","18.1","1","0.9","0.1","0.511","0.421"
"62","Adrian Dantley*",1986,"2267","395","264","76","2744","1","11","0.091","817","1442","0.567","24.6","12.8","10.4","2.3","0.629","0.548"
"63","Brad Davis",1986,"764","146","467","82","1971","32","89","0.36","235","413","0.569","16.9","6.2","5.7","0.5","0.634","0.454"
"64","Charles Davis",1986,"440","170","55","57","873","3","24","0.125","185","373","0.496","13.9","2.1","0.8","1.2","0.512","0.189"
"65","Johnny Davis",1986,"417","55","217","66","1014","3","13","0.231","145","331","0.438","13.8","1.7","1","0.7","0.515","0.401"
"66","Walter Davis",1986,"1523","203","361","70","2239","18","76","0.237","606","1211","0.5","18.1","4.2","2.5","1.7","0.536","0.237"
"67","Darryl Dawkins",1986,"778","251","77","51","1207","0","1","0","284","440","0.645","19.5","4.4","3.1","1.3","0.68","0.673"
"68","Darren Daye",1986,"556","183","109","64","1075","1","3","0.333","197","396","0.497","16.4","2.4","1","1.3","0.552","0.594"
"69","James Donaldson",1986,"716","795","96","83","2682","0","0","0","256","459","0.558","13","5.7","3.4","2.4","0.627","0.553"
"70","Larry Drew",1986,"890","125","338","75","1971","10","31","0.323","366","745","0.491","13.7","2.8","1.9","0.9","0.525","0.207"
"71","Clyde Drexler*",1986,"1389","421","600","75","2576","12","60","0.2","530","1082","0.49","19.8","6.7","3.5","3.1","0.53","0.334"
"72","Joe Dumars*",1986,"769","119","390","82","1957","5","16","0.313","282","581","0.485","12.9","3.2","2.2","1","0.548","0.399"
"73","T.R. Dunn",1986,"412","377","171","82","2401","0","1","0","172","378","0.455","9.4","4.9","1.8","3.1","0.493","0.232"
"74","Devin Durrant",1986,"17","8","5","4","51","0","0","0","8","21","0.381","4.9","-0.1","-0.1","0.1","0.373","0.19"
"75","Mark Eaton",1986,"676","675","101","80","2551","0","0","0","277","589","0.47","12.2","4","-0.9","4.8","0.499","0.343"
"76","Franklin Edwards",1986,"657","86","259","73","1491","1","9","0.111","261","568","0.46","13.7","0.8","0.3","0.5","0.511","0.262"
"77","James Edwards",1986,"848","301","74","52","1314","0","0","0","318","587","0.542","16.7","3","1.7","1.3","0.589","0.514"
"78","Craig Ehlo",1986,"98","46","29","36","199","3","9","0.333","33","75","0.44","17.5","0.5","0.3","0.2","0.506","0.345"
"79","Dale Ellis",1986,"508","168","37","72","1086","63","173","0.364","130","297","0.438","13.5","1.6","1.2","0.4","0.502","0.174"
"80","Alex English*",1986,"2414","405","320","81","3024","1","5","0.2","950","1883","0.505","21.7","9.8","7.6","2.3","0.562","0.314"
"81","Julius Erving*",1986,"1340","370","248","74","2474","9","32","0.281","512","1053","0.486","17.4","5.9","3.3","2.6","0.537","0.339"
"82","Mike Evans",1986,"773","101","177","81","1389","39","176","0.222","265","539","0.492","12.4","1.1","-0.1","1.2","0.495","0.208"
"83","Patrick Ewing*",1986,"998","451","102","50","1771","0","5","0","386","809","0.477","17.4","3.1","0","3.1","0.526","0.376"
"84","Kenny Fields",1986,"499","203","79","78","1120","0","4","0","204","394","0.518","13.3","2.8","1","1.8","0.547","0.332"
"85","Vern Fleming",1986,"1136","386","505","80","2870","1","6","0.167","435","856","0.508","15.3","6.9","3.6","3.2","0.558","0.41"
"86","Sleepy Floyd",1986,"1410","297","746","82","2764","39","119","0.328","471","888","0.53","20","7.5","6","1.5","0.587","0.438"
"87","Rod Foster",1986,"202","58","121","48","704","9","32","0.281","76","186","0.409","6.6","-0.3","-0.8","0.5","0.435","0.147"
"88","World B. Free",1986,"1754","218","314","75","2535","71","169","0.42","581","1264","0.46","19","6.1","4.5","1.5","0.533","0.339"
"89","Bill Garnett",1986,"340","275","95","80","1197","0","2","0","112","237","0.473","10.5","2","0.5","1.5","0.548","0.678"
"90","George Gervin*",1986,"1325","215","144","82","2065","4","19","0.211","515","1081","0.476","16","3","2.8","0.2","0.534","0.293"
