"","Player","Eff","Vol","allstar","i"
"1","Paul Arizin",5.15680968954869,6.78724683559497,1,1952
"2","Cliff Barker",-1.28457373610376,-1.94968363536934,0,1952
"3","Don Barksdale",-0.84249109373216,0.952236521256727,0,1952
"4","Leo Barnhorst",-0.167262184617689,2.11366354478195,1,1952
"5","Elmer Behnke",-1.16093956614221,-2.17636336254494,0,1952
"6","Charlie Black",-1.86703494338467,-2.91130973640334,0,1952
"7","Nelson Bobb",-0.00107153007929678,-1.06597607070313,0,1952
"8","Vince Boryla",0.16299367000607,0.294543423935801,0,1952
"9","Don Boven",-1.07797527785178,0.168325957159091,0,1952
"10","Bob Brannum",-0.132264779228816,-0.486487371670259,0,1952
"11","Frankie Brian",0.757112058612317,2.16189130630443,1,1952
"12","Stan Brown",-0.69580840020642,-2.56217600635024,0,1952
"13","Walt Budko",0.426088921331706,-1.245758671162,0,1952
"14","Art Burris",-1.7247107997617,-2.56435985598588,0,1952
"15","Gerry Calabrese",-0.562585667390437,-1.55911250536676,0,1952
"16","Bill Calhoun",-0.8185778130011,-0.872390933800004,0,1952
"17","Al Cervi",2.76679389864993,0.468283826338964,0,1952
"18","Cal Christensen",-0.317381090338306,-1.80868855280174,0,1952
"19","Nat Clifton",-1.24728354016653,1.477916941943,0,1952
"20","Bill Closs",-1.06604054160998,-1.44624636788843,0,1952
"21","Jack Coleman",0.762099308317237,2.29087669761558,0,1952
"22","Chuck Cooper",-0.0395520051809242,0.612158759605386,0,1952
"23","Bob Cousy",0.784486425614595,4.6350102101866,1,1952
"24","Dillard Crocker",0.144608246865085,-0.951899310061095,0,1952
"25","Ed Dahler",-0.455028525487966,-2.50066562946028,0,1952
"26","Bob Davies",0.958095986286357,2.76152663052078,1,1952
"27","Nate DeLong",2.47627547198962,-1.51762731970847,0,1952
"28","Dick Dickey",-0.354784588780889,-2.10682078614143,0,1952
"29","Bob Donham",1.99642173200433,1.41017177523225,0,1952
"30","Dike Eddleman",-1.60635842727037,-0.483814966549909,1,1952
"31","Jake Fendley",0.399187545191981,-1.90173129675648,0,1952
"32","Larry Foust",0.693224206099037,3.96637826227457,1,1952
"33","Jerry Fowler",-1.28837740812313,-2.89875984564708,0,1952
"34","Joe Fulks",-1.82567029778861,-0.470020302894263,1,1952
"35","Bill Gabor",-0.901407375247172,-1.27762352630729,0,1952
"36","Harry Gallatin",3.22841348661852,2.85417737673234,1,1952
"37","Vern Gardner",-0.987870012745103,-1.69455175361852,0,1952
"38","Joe Graboski",0.572283331213261,2.91926972464085,0,1952
"39","Alex Hannum",-0.27911296988267,-1.43688338941213,0,1952
"40","Bob Harris",0.799414418131892,0.89688426230758,0,1952
"41","Bob Harrison",-1.44185154856722,-0.308532542512744,0,1952
"42","Lew Hitch",0.0104684041584231,-0.823437276760332,0,1952
"43","Joe Holland",-0.936329237752487,-1.64076158386114,0,1952
"44","Red Holzman",-2.12540924399848,-2.21007142260783,0,1952
"45","Mel Hutchins",-0.461346534079898,2.26030037426965,0,1952
"46","Joe Hutton",-0.121495188243585,-1.7215377727497,0,1952
"47","Arnie Johnson",3.71205667562355,2.27297935059894,0,1952
"48","Ralph Johnson",-0.778286531578083,-0.188399725375253,0,1952
"49","Neil Johnston",1.90941078352074,-0.43383348962539,0,1952
"50","Wah Wah Jones",-1.53196569891152,-0.384077149158415,0,1952
"51","Noble Jorgensen",1.39591146816328,0.238240678866341,0,1952
"52","George Kaftan",0.274375055237585,-0.769915144193835,0,1952
"53","Jack Kerris",1.18178512256859,1.89137721085361,0,1952
"54","Jack Kiley",-2.47015008405773,-2.88430559913354,0,1952
"55","George King",1.17250813818762,1.72383347764502,0,1952
"56","Walt Kirk",0.628321707485912,-0.350022601562573,0,1952
"57","Frank Kudelka",-0.411297243567683,-0.0528483233846562,0,1952
"58","Bob Lavoy",0.865049825679223,1.63979848909776,0,1952
"59","Don Lofgran",0.36680619413595,-0.448319518234022,0,1952
"60","Ray Lumpp",0.0493026084579772,-0.794635188443123,0,1952
"61","Ed Macauley",4.05860401274069,5.37757466873513,1,1952
"62","John Mahnken",-1.19003573572884,-2.05146052123983,0,1952
"63","Slater Martin",0.0333774025821875,1.70992478692329,0,1952
"64","John McConathy",-1.97033482988657,-3.18968255442265,0,1952
"65","Alfred McGuire",1.26179869109432,-1.27729390343708,0,1952
"66","Dick McGuire",1.58504380314365,2.49008329771904,1,1952
"67","Bones McKinney",-1.32612876003839,-1.49545440422609,0,1952
"68","Joe McNamee",-1.60544264762426,-2.36405306592085,0,1952
"69","Dick Mehen",-1.05644589755094,-0.09201430568441,0,1952
"70","Stan Miasek",0.413270733234265,1.57225628815397,0,1952
"71","Ed Mikan",-0.528808700963007,-0.421359986006678,0,1952
"72","George Mikan",1.42110261492851,7.36620516381716,1,1952
"73","Vern Mikkelsen",2.09470348433519,5.24723863802891,1,1952
"74","Dave Minor",-0.602398200166996,-0.30139357760465,0,1952
"75","Paul Noel",-1.33740992678303,-3.01973895174046,0,1952
"76","Ralph O'Brien",-0.058638400257628,-0.306761085645356,0,1952
"77","Kevin O'Shea",-0.62820313547145,-0.633520827452403,0,1952
"78","Wally Osterkorn",0.37935492619647,0.600253789578757,0,1952
"79","Don Otten",1.05316896414102,1.68553863885838,0,1952
"80","Red Owens",-0.730752050772481,-1.33165417820638,0,1952
"81","Mel Payton",-0.389135392591996,-2.08975382965171,0,1952
"82","Andy Phillip",0.282945868572435,3.0414900584356,1,1952
"83","John Pilch",-1.52538550660886,-2.90449967487573,0,1952
"84","Jim Pollard",-1.093068398365,3.33131251983817,1,1952
"85","Ray Ragelis",-1.50838881322682,-2.64608451473879,0,1952
"86","Sam Ranzino",-0.177912179284503,-2.43115438508244,0,1952
"87","George Ratkovicz",-0.0769546225484542,-0.191983171442595,0,1952
"88","Don Rehfeldt",-0.480509043152624,-0.802296573782949,0,1952
"89","John Rennicke",-1.35261654296844,-3.32673173411938,0,1952
"90","Arnie Risen",1.05094057340299,3.41259618022296,1,1952
"91","Red Rocha",1.51403465267142,2.64753833726976,1,1952
"92","Pep Saul",0.00536239731668911,-1.64832648579229,0,1952
"93","Don Savage",-0.387469385094982,-2.31792608885625,0,1952
"94","Fred Schaus",1.02554411267216,2.85984219749261,0,1952
"95","Dolph Schayes",1.11757209695212,3.91917093702349,1,1952
"96","Herb Scherer",-1.40874985716575,-2.66382888555628,0,1952
"97","Howie Schultz",-1.19685477914747,-0.826384532613272,0,1952
"98","Fred Scolari",0.312537921520321,1.76256132603142,1,1952
"99","George Senesky",0.247987296995788,0.612306051089106,0,1952
"100","Paul Seymour",-0.472193956710649,0.526217581413381,0,1952
"101","Chuck Share",0.0432779836016417,-1.05301929182439,0,1952
"102","Bill Sharman",1.03233246510119,0.627645213277222,0,1952
"103","Connie Simmons",0.29686795340162,0.653171668600413,0,1952
"104","Zeke Sinicola",-1.66510245270305,-3.45752950850783,0,1952
"105","Whitey Skoog",-1.23642826575688,-0.749938900733647,0,1952
"106","Jim Slaughter",-0.66001014928772,-1.69982243812064,0,1952
"107","Belus Smawley",-1.77726205939338,-3.07919034398804,0,1952
"108","Odie Spears",0.392194868060378,0.235773349720015,0,1952
"109","Bill Tosheff",-0.668248970885025,0.488262049095812,0,1952
"110","Gene Vance",-0.254448792413486,-2.10326468711757,0,1952
"111","Ernie Vandeweghe",1.55678181339752,0.963695353805744,0,1952
"112","Brady Walker",-0.159948288901922,-0.988641071752172,0,1952
"113","Paul Walther",1.64751847565182,1.87010606548069,1,1952
"114","Bobby Wanzer",3.71325027491106,3.89009909311405,1,1952
"115","Bob Wilson",-0.965497074800834,-1.52676321835119,0,1952
"116","Max Zaslofsky",-0.716801065195135,0.203220341212265,1,1952
"117","Jim Baechtold",0.438506870007973,0.0774950117299028,0,1953
"118","Don Barksdale",0.649770943648656,1.50961581507371,1,1953
"119","Leo Barnhorst",-0.0629498107683902,2.48370639923359,1,1953
"120","Nelson Bobb",0.355520089996431,-0.279571667169082,0,1953
"121","Vince Boryla",-0.298664699845541,0.624927248523519,0,1953
"122","Don Boven",0.0865162407166555,-0.704231594408878,0,1953
"123","Bob Brannum",-0.896361948862801,-0.0995629251256879,0,1953
"124","Jim Brasco",-1.06087243878952,-2.27157193259387,0,1953
"125","Carl Braun",1.44831649315815,2.74530815249879,1,1953
"126","Frankie Brian",-0.25503274170328,0.0701978847170931,0,1953
"127","Dick Bunt",-0.701308483691295,-2.47263398145312,0,1953
"128","Bill Calhoun",-0.109443801645585,0.898416814366139,0,1953
"129","Al Cervi",4.48955955436987,-1.40566348869502,0,1953
"130","Cal Christensen",-0.585736087887653,-1.65437807762829,0,1953
"131","Nat Clifton",-0.891678259669209,2.23201579733001,0,1953
"132","Jack Coleman",0.769093826441129,3.12487909838471,0,1953
"133","Gene Conley",-1.07647102717278,-2.0185594177228,0,1953
"134","Chuck Cooper",-0.547059537127236,-0.284799962892522,0,1953
"135","Ray Corley",-2.49104695774183,-3.46178434774733,0,1953
"136","Bob Cousy",-0.377206127387767,4.69107761149487,1,1953
"137","Dillard Crocker",0.695475295389046,-1.15789552851025,0,1953
"138","Pete Darcey",-1.36943015286344,-2.9644578859027,0,1953
"139","Bob Davies",1.02873418723284,2.67349218409313,1,1953
"140","Blaine Denning",-0.367455432840925,-2.10915595250719,0,1953
"141","Bob Donham",2.18912483463037,-0.0859953743690416,0,1953
"142","Dike Eddleman",-0.943164500349399,-0.895987808838855,0,1953
"143","George Feigenbaum",-0.625199593374479,-2.5664518432787,0,1953
"144","Jake Fendley",1.46892530371612,-1.95292156918462,0,1953
"145","Danny Finn",-0.843272949788283,-0.0265972654767769,0,1953
"146","Jerry Fleishman",-0.412978783174571,-0.323123006335824,0,1953
"147","Larry Foust",0.241951229248185,3.14561955064085,1,1953
"148","Joe Fulks",-1.43118074533298,-0.28261939157309,0,1953
"149","Bill Gabor",-0.132537218795655,-0.303925837756711,1,1953
"150","Harry Gallatin",2.73229674331807,4.46790131673463,1,1953
"151","Joe Graboski",0.00474979473184056,2.7070344630712,0,1953
"152","Dick Groat",0.515824423275393,0.670505943694453,0,1953
"153","Alex Hannum",-0.412039028221147,-0.928599844265168,0,1953
"154","Don Hanrahan",0.0866088137252104,-2.15627379412857,0,1953
"155","Bob Harris",1.01936537804588,0.327693502754646,0,1953
"156","Bob Harrison",-0.293997352778834,-0.2276865416914,0,1953
"157","Don Henriksen",1.46788867642587,0.552944110700662,0,1953
"158","Kleggie Hermsen",-3.11532440496001,-3.28374391989609,0,1953
"159","Lew Hitch",0.0203502187580286,-0.85843771318383,0,1953
"160","Paul Hoffman",0.230599138116443,0.437636335796921,0,1953
"161","Jim Holstein",-0.326232991521849,-1.15033200705178,0,1953
"162","Red Holzman",-1.90664135674951,-2.68976051673821,0,1953
"163","Mel Hutchins",-0.0406969601795798,3.56842346688358,1,1953
"164","Arnie Johnson",2.84350799095051,1.69058633811309,0,1953
"165","Ralph Johnson",-0.604591064110865,-2.34539402175051,0,1953
"166","Neil Johnston",4.06924653191603,6.87947941247676,1,1953
"167","Noble Jorgensen",-0.44579898303074,-0.859759566655566,0,1953
"168","George Kaftan",-0.386006950597492,-1.80042094453381,0,1953
"169","Jack Kerris",0.297122359358398,-0.532385892463324,0,1953
"170","Jack Kiley",-1.94058833817442,-3.02530558250168,0,1953
"171","George King",1.67039037811494,2.85057862251202,0,1953
"172","Frank Kudelka",-1.08279831819745,-1.90835084536243,0,1953
"173","Bob Lavoy",0.776010545245572,1.60638796341961,0,1953
"174","Andrew Levane",-3.2398442261577,-3.21208530024755,0,1953
"175","Earl Lloyd",-0.106609600070524,0.240504145884157,0,1953
"176","Bob Lochmueller",-0.461263021708512,-1.75398912532237,0,1953
"177","Don Lofgran",-1.11932477358565,-0.781997850036787,0,1953
"178","Ray Lumpp",0.0966874536196679,-0.174347350651028,0,1953
"179","Ed Macauley",3.80725873449336,6.0261347069079,1,1953
"180","John Mahnken",-1.7187005302416,-2.085610450576,0,1953
"181","Mo Mahoney",0.742330865255291,-2.38931932260918,0,1953
"182","Slater Martin",1.26385420420803,2.18040707438209,1,1953
"183","Al Masino",-0.36115461084311,-0.559912494382079,0,1953
"184","Jack McCloskey",-1.99313566168843,-2.7437088553311,0,1953
"185","Bucky McConnell",-0.225307228869492,-0.731478118126208,0,1953
"186","Alfred McGuire",1.23491283007323,-0.0201844784120175,0,1953
"187","Dick McGuire",1.02462893381284,1.5064521144664,0,1953
"188","George McLeod",-0.0264293117542296,-2.88083199681645,0,1953
"189","Jack McMahon",-0.800505113311406,-0.522513358951072,0,1953
"190","Monk Meineke",0.760523401977365,1.76118798730276,0,1953
"191","Stan Miasek",0.141996304804132,-0.0413317077336065,0,1953
"192","Ed Mikan",-1.68226693496531,-1.9399018347591,0,1953
"193","George Mikan",1.49365469666426,7.19601357020876,1,1953
"194","Vern Mikkelsen",2.18447267416203,4.56523921169102,1,1953
"195","Eddie Miller",-0.806224209444503,0.272738571946513,0,1953
"196","Dave Minor",-0.374101852251745,-0.0330570870675631,0,1953
"197","Bill Mlkvy",-1.81598982639101,-1.97417000833627,0,1953
"198","Jim Mooney",-0.628409378125489,-1.12910712611931,0,1953
"199","Bob Naber",-2.53681496143589,-3.17576500521507,0,1953
"200","Jack Nichols",-0.734286973248016,2.50120318725685,0,1953
"201","John O'Boyle",-1.04140602184582,-1.95982911387925,0,1953
"202","Ralph O'Brien",-0.656862688855452,-1.79010839062217,0,1953
"203","Mike O'Neill",-1.49315055371872,-2.22741696963536,0,1953
"204","Kevin O'Shea",-0.0187876212994383,-1.71939103088681,0,1953
"205","Wally Osterkorn",0.120271754106909,-0.773177198110257,0,1953
"206","Don Otten",2.54127971983331,-0.448491125347908,0,1953
"207","Claude Overton",-1.13113322731241,-2.58989286070043,0,1953
"208","Johnny Payak",0.596331074737567,-0.301751232661648,0,1953
"209","Mel Payton",-0.506150167485569,-0.287981623704233,0,1953
"210","Andy Phillip",0.97756995321555,-0.197964095268841,1,1953
"211","Jim Pollard",-0.886853330029127,2.34501139159026,0,1953
"212","Ralph Polson",0.294439127838888,-1.54458248606941,0,1953
"213","Bob Priddy",-0.336244310541939,-2.44064695002588,0,1953
"214","Moe Radovich",0.0532219889819485,-1.80730871711608,0,1953
"215","Sherwin Raiken",-2.28053202999636,-3.10231076604218,0,1953
"216","George Ratkovicz",-0.0360613229094466,2.00555434929774,0,1953
"217","Gene Rhodes",-0.470726147544478,-1.39374238807353,0,1953
"218","Arnie Risen",0.38628403191557,2.65651414113492,1,1953
"219","Red Rocha",0.712206273734109,2.0634330709633,0,1953
"220","Kenny Rollins",-1.00607065163466,-2.27643021887411,0,1953
"221","Pep Saul",0.607262397266422,-0.0516863884419947,0,1953
"222","Fred Schaus",-0.716331433467262,1.51102019326667,0,1953
"223","Dolph Schayes",1.25868593551081,6.0367534926,1,1953
"224","Howie Schultz",0.153850919885812,-1.93238197940622,0,1953
"225","Fred Scolari",-0.559154032821278,0.827662741017427,1,1953
"226","George Senesky",-1.31330687056416,-0.446466444718016,0,1953
"227","Paul Seymour",1.04758944691144,3.1337783496291,1,1953
"228","Chuck Share",1.86646008176536,0.0205089289195919,0,1953
"229","Bill Sharman",2.45722896807818,2.95971584294792,1,1953
"230","Connie Simmons",0.706820528834114,1.75480882658278,0,1953
"231","Whitey Skoog",-0.419964997735435,-1.3060074894276,0,1953
"232","Odie Spears",1.16475914017253,0.832259353322358,0,1953
"233","Dick Surhoff",-1.11111218041681,-2.81983846464345,0,1953
"234","Bill Tosheff",-1.15559612978365,0.932126489852978,0,1953
"235","Ernie Vandeweghe",1.56860273722818,2.12082786957096,0,1953
"236","Paul Walther",0.20437618429284,1.43916542748046,0,1953
"237","Bobby Wanzer",0.693860427829347,2.88864145205324,1,1953
"238","Mark Workman",-1.5491993756888,-2.19628049989238,0,1953
"239","Max Zaslofsky",0.341253809197377,0.0626230562366991,0,1953
"240","Zeke Zawoluk",1.25464789413388,-1.02487063712348,0,1953
"241","Don Ackerman",-0.903793898906492,-2.74129893369374,0,1954
"242","Don Asmonga",-2.2961629686245,-3.25392943330776,0,1954
"243","Jim Baechtold",0.0555148934256331,-0.603802648437338,0,1954
"244","Don Barksdale",0.447917967426273,-0.097472470259975,0,1954
"245","Leo Barnhorst",-1.31714212197921,-1.10598022245914,0,1954
"246","Ernie Barrett",-1.37459575738175,-2.33576043128347,0,1954
"247","Ernie Beck",-0.905380435949539,-1.52800776309743,0,1954
"248","Irv Bemoras",-0.0638339437631172,-0.556428016489036,0,1954
"249","Bill Bolger",-0.254574285011292,-2.03026773615009,0,1954
"250","Vince Boryla",-1.19264249503808,-1.51019799527817,0,1954
"251","Bob Brannum",-0.923250476825848,-0.546673785579901,0,1954
"252","Carl Braun",1.51989388232776,2.48083637128768,1,1954
"253","Frankie Brian",0.609265814314615,-0.7141878833631,0,1954
"254","Bill Calhoun",0.169530746163644,0.701458120953401,0,1954
"255","Cal Christensen",-0.0720212982634185,0.104848860654303,0,1954
"256","Nat Clifton",-0.253777859460397,0.815246592832286,0,1954
"257","Jack Coleman",0.152695657758432,2.03574814253934,0,1954
"258","Chuck Cooper",-0.621769590411386,-1.49598099116223,0,1954
"259","Bob Cousy",0.897080010791702,4.37705082147989,1,1954
"260","Bob Davies",0.543451513518848,2.51051304594036,1,1954
"261","Walt Davis",-0.607258446859117,-0.65600891175902,0,1954
"262","Bob Donham",1.36114477032041,0.0739618073194508,0,1954
"263","Gene Dyker",-1.13187562757174,-2.70023326251301,0,1954
"264","Ed Earle",4.33444842295261,-2.5242590847038,0,1954
"265","Ray Felix",1.72678116159792,3.80746198102129,1,1954
"266","Danny Finn",-0.547110871828234,0.0192291361900612,0,1954
"267","Larry Foust",1.39129808950341,4.59806671631788,1,1954
"268","Jim Fritsche",-1.50186858306942,-2.022765026419,0,1954
"269","Joe Fulks",-1.71461249342696,-2.68976425091591,0,1954
"270","Bill Gabor",-0.0656293167604382,0.0945655199713733,0,1954
"271","Harry Gallatin",2.45162276047837,4.85305269032482,1,1954
"272","Jack George",-0.811586032815672,0.972579710748344,0,1954
"273","Bato Govedarica",-0.0740328931568688,-1.94214450765722,0,1954
"274","Joe Graboski",-0.719343641020108,1.58187428379866,0,1954
"275","Norm Grekin",-3.30638828391101,-2.80708277023632,0,1954
"276","Alex Hannum",-0.702705201070339,-0.248386646504066,0,1954
"277","Rollen Hans",-0.390414856209818,-0.755209355878714,0,1954
"278","Bob Harris",0.119076981590452,-0.191270384888747,0,1954
"279","Bob Harrison",-1.06881657442901,-1.16782323841408,0,1954
"280","Lew Hitch",-0.334974228985841,1.24179051607433,0,1954
"281","Paul Hoffman",-0.820208934400756,0.781884176442401,0,1954
"282","Jim Holstein",-0.934547686634147,-1.39826556387526,0,1954
"283","Red Holzman",-0.604275761904792,-1.8441468040142,0,1954
"284","Bob Houbregs",0.326870164156968,0.202933761253384,0,1954
"285","Mel Hutchins",0.366456376052321,2.43851004908338,1,1954
"286","Neil Johnston",3.55575260987877,7.44612604937585,1,1954
"287","Billy Kenville",0.576849061546593,0.202827894446353,0,1954
"288","George King",0.265089785816886,2.01466540476586,0,1954
"289","Dick Knostman",1.71580500951153,-1.30564361035395,0,1954
"290","Bob Lavoy",0.128072550533559,-0.169725542528501,0,1954
"291","Earl Lloyd",-0.0477453451854518,1.37374406254871,0,1954
"292","Don Lofgran",-0.276748497057839,-1.59332479619834,0,1954
"293","Clyde Lovellette",0.682368877360491,0.744748072797366,0,1954
"294","Jim Luisi",-0.161442392252487,-2.16419532005312,0,1954
"295","Ed Macauley",3.92497975836946,5.45335730375995,1,1954
"296","Mo Mahoney",-3.32395267985714,-3.38414829545938,0,1954
"297","Slater Martin",0.369200128681554,1.57335878589209,1,1954
"298","Al Masino",1.36821248497577,-1.59651654042235,0,1954
"299","Alfred McGuire",0.0796025683388161,-1.7679958380176,0,1954
"300","Dick McGuire",1.26349864410014,2.11885709090913,1,1954
"301","Jack McMahon",-0.0596143998260767,1.15786762377706,0,1954
"302","Monk Meineke",0.0126204962839546,-0.264626795749607,0,1954
"303","Ed Mikan",-0.303460359705016,-2.38214340918097,0,1954
"304","George Mikan",0.841649843683053,5.96658909718768,1,1954
"305","Vern Mikkelsen",0.184853181910768,2.26273818333674,0,1954
"306","Eddie Miller",1.19362944189038,1.09364867459447,0,1954
"307","Jack Molinas",1.1716077930971,1.54277243705119,1,1954
"308","Ken Murray",-1.12380258404522,-2.22074494764118,0,1954
"309","Jim Neal",-0.98847431506116,-1.47892085601917,0,1954
"310","Jack Nichols",-1.28916219043936,-1.46531784002047,0,1954
"311","Paul Nolen",-3.31517048188407,-2.69900085248441,0,1954
"312","Mike Novak",-2.35436688473881,-3.29505226426765,0,1954
"313","Wally Osterkorn",-0.268324141929675,1.25282097773755,0,1954
"314","Bob Peterson",2.11891687942521,-2.10478291158087,0,1954
"315","James Phelan",-0.0824252334171292,-3.10652333228473,0,1954
