"","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Yr","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP"
"1","Paul Arizin*","SF","31","PHW","9","0","371","84","195",".431","0","0","0","84","195",".431",".431","69","79",".873","0","0","86","33","0","0","0","29","237",1960,"20.8",".516","0",".405","0","0","0","12.3","0","0","0","0","1.2","0.5","1.7",".223","0","0","0","0"
"2","Dick Barnett","SG","23","SYR","3","0","64","12","38",".316","0","0","0","12","38",".316",".316","6","7",".857","0","0","14","4","0","0","0","4","30",1960,"10.1",".365","0",".184","0","0","0","9.0","0","0","0","0","-0.1","0.0","-0.1","-0.090","0","0","0","0"
"3","Elgin Baylor*","SF","25","MNL","9","0","408","111","234",".474","0","0","0","111","234",".474",".474","79","94",".840","0","0","127","31","0","0","0","38","301",1960,"26.2",".547","0",".402","0","0","0","14.2","0","0","0","0","2.0","0.2","2.2",".265","0","0","0","0"
"4","Ernie Beck","SG","28","PHW","4","0","22","4","9",".444","0","0","0","4","9",".444",".444","0","1",".000","0","0","6","3","0","0","0","1","8",1960,"14.4",".424","0",".111","0","0","0","17.8","0","0","0","0","0.0","0.0","0.0",".092","0","0","0","0"
"5","Al Bianchi","PG","27","SYR","2","0","18","0","8",".000","0","0","0","0","8",".000",".000","0","0","0","0","0","3","3","0","0","0","2","0",1960,"-7.6",".000","0",".000","0","0","0","18.9","0","0","0","0","-0.2","0.0","-0.2","-0.463","0","0","0","0"
"6","Barney Cable","SF","24","SYR","3","0","63","5","14",".357","0","0","0","5","14",".357",".357","4","8",".500","0","0","28","1","0","0","0","12","14",1960,"8.5",".400","0",".571","0","0","0","2.0","0","0","0","0","0.0","0.0","0.0","-0.014","0","0","0","0"
"7","Wilt Chamberlain*","C","23","PHW","9","0","415","125","252",".496","0","0","0","125","252",".496",".496","49","110",".445","0","0","232","19","0","0","0","17","299",1960,"27.0",".498","0",".437","0","0","0","7.1","0","0","0","0","1.2","0.9","2.1",".241","0","0","0","0"
"8","Gene Conley","PF","29","BOS","13","0","269","34","88",".386","0","0","0","34","88",".386",".386","16","22",".727","0","0","116","3","0","0","0","59","84",1960,"10.4",".430","0",".250","0","0","0","1.4","0","0","0","0","0.0","0.6","0.6",".114","0","0","0","0"
"9","Ed Conlin","SG","26","DET","2","0","20","3","10",".300","0","0","0","3","10",".300",".300","2","2","1.000","0","0","4","0","0","0","0","2","8",1960,"6.7",".368","0",".200","0","0","0","0.0","0","0","0","0","0.0","0.0","0.0","-0.058","0","0","0","0"
"10","Larry Costello","PG","28","SYR","3","0","122","20","47",".426","0","0","0","20","47",".426",".426","10","12",".833","0","0","14","20","0","0","0","15","50",1960,"13.5",".478","0",".255","0","0","0","22.8","0","0","0","0","0.2","0.0","0.2",".077","0","0","0","0"
"11","Bob Cousy*","PG","31","BOS","13","0","468","80","262",".305","0","0","0","80","262",".305",".305","39","51",".765","0","0","48","116","0","0","0","27","199",1960,"12.7",".350","0",".195","0","0","0","32.7","0","0","0","0","-0.9","1.2","0.2",".023","0","0","0","0"
"12","Archie Dees","PF","23","DET","2","0","18","4","12",".333","0","0","0","4","12",".333",".333","3","3","1.000","0","0","4","2","0","0","0","2","11",1960,"15.8",".413","0",".250","0","0","0","18.8","0","0","0","0","0.0","0.0","0.0",".031","0","0","0","0"
"13","Connie Dierking","C","23","SYR","3","0","32","6","20",".300","0","0","0","6","20",".300",".300","0","1",".000","0","0","15","1","0","0","0","6","12",1960,"6.6",".294","0",".050","0","0","0","4.5","0","0","0","0","-0.1","0.0","-0.1","-0.211","0","0","0","0"
"14","Walter Dukes","C","29","DET","2","0","78","16","31",".516","0","0","0","16","31",".516",".516","16","22",".727","0","0","33","2","0","0","0","9","48",1960,"24.1",".590","0",".710","0","0","0","4.2","0","0","0","0","0.4","0.1","0.5",".284","0","0","0","0"
"15","Boo Ellis","PF","23","MNL","3","0","36","2","10",".200","0","0","0","2","10",".200",".200","4","8",".500","0","0","12","2","0","0","0","3","8",1960,"6.7",".296","0",".800","0","0","0","7.4","0","0","0","0","-0.1","0.0","-0.1","-0.101","0","0","0","0"
"16","Ray Felix","C","29","MNL","8","0","147","17","41",".415","0","0","0","17","41",".415",".415","18","25",".720","0","0","53","9","0","0","0","34","52",1960,"13.0",".500","0",".610","0","0","0","8.8","0","0","0","0","0.2","0.1","0.3",".111","0","0","0","0"
"17","Al Ferrari","SG","26","STL","9","0","142","15","38",".395","0","0","0","15","38",".395",".395","10","18",".556","0","0","9","15","0","0","0","13","40",1960,"7.5",".436","0",".474","0","0","0","14.7","0","0","0","0","0.1","0.0","0.1",".025","0","0","0","0"
"18","Bob Ferry","C","22","STL","11","0","56","10","19",".526","0","0","0","10","19",".526",".526","4","7",".571","0","0","15","0","0","0","0","10","24",1960,"12.2",".543","0",".368","0","0","0","0.0","0","0","0","0","0.1","0.0","0.2",".132","0","0","0","0"
"19","Larry Foust","C","31","STL","12","0","205","29","74",".392","0","0","0","29","74",".392",".392","20","25",".800","0","0","68","11","0","0","0","36","78",1960,"12.1",".459","0",".338","0","0","0","7.9","0","0","0","0","0.2","0.0","0.2",".052","0","0","0","0"
"20","Tom Gola*","SG","27","PHW","9","0","340","42","102",".412","0","0","0","42","102",".412",".412","29","36",".806","0","0","95","50","0","0","0","41","113",1960,"14.6",".479","0",".353","0","0","0","17.9","0","0","0","0","0.5","0.6","1.1",".149","0","0","0","0"
"21","Joe Graboski","PF","30","PHW","9","0","129","17","58",".293","0","0","0","17","58",".293",".293","7","9",".778","0","0","30","9","0","0","0","23","41",1960,"5.4",".331","0",".155","0","0","0","8.6","0","0","0","0","-0.3","0.2","-0.1","-0.049","0","0","0","0"
"22","Si Green","PG","26","STL","14","0","565","81","171",".474","0","0","0","81","171",".474",".474","35","58",".603","0","0","121","88","0","0","0","50","197",1960,"15.0",".501","0",".339","0","0","0","22.9","0","0","0","0","1.0","0.1","1.1",".098","0","0","0","0"
"23","Hal Greer*","SG","23","SYR","3","0","84","22","43",".512","0","0","0","22","43",".512",".512","3","4",".750","0","0","14","10","0","0","0","5","47",1960,"19.0",".525","0",".093","0","0","0","19.2","0","0","0","0","0.3","0.0","0.3",".148","0","0","0","0"
"24","Gene Guarilia","SF","22","BOS","7","0","41","4","18",".222","0","0","0","4","18",".222",".222","6","6","1.000","0","0","19","3","0","0","0","4","14",1960,"12.4",".339","0",".333","0","0","0","8.8","0","0","0","0","-0.1","0.1","0.0",".027","0","0","0","0"
"25","Cliff Hagan*","SF","28","STL","14","0","544","125","296",".422","0","0","0","125","296",".422",".422","89","109",".817","0","0","138","54","0","0","0","54","339",1960,"19.5",".493","0",".368","0","0","0","16.7","0","0","0","0","1.4","0.1","1.5",".135","0","0","0","0"
"26","Vern Hatton","SG","24","PHW","6","0","17","4","13",".308","0","0","0","4","13",".308",".308","1","3",".333","0","0","3","1","0","0","0","3","9",1960,"3.9",".314","0",".231","0","0","0","8.3","0","0","0","0","-0.1","0.0","-0.1","-0.187","0","0","0","0"
"27","Tom Hawkins","SF","23","MNL","8","0","119","22","45",".489","0","0","0","22","45",".489",".489","15","18",".833","0","0","21","3","0","0","0","24","59",1960,"13.8",".557","0",".400","0","0","0","4.0","0","0","0","0","0.4","0.0","0.5",".184","0","0","0","0"
"28","Tom Heinsohn*","PF","25","BOS","13","0","423","112","267",".419","0","0","0","112","267",".419",".419","60","80",".750","0","0","126","27","0","0","0","53","284",1960,"19.9",".470","0",".300","0","0","0","9.6","0","0","0","0","0.8","0.9","1.7",".192","0","0","0","0"
"29","Bob Hopkins","PF","25","SYR","1","0","19","2","8",".250","0","0","0","2","8",".250",".250","3","3","1.000","0","0","6","0","0","0","0","3","7",1960,"7.8",".376","0",".375","0","0","0","0.0","0","0","0","0","0.0","0.0","0.0","-0.058","0","0","0","0"
"30","Bailey Howell*","PF","23","DET","2","0","72","14","41",".341","0","0","0","14","41",".341",".341","6","8",".750","0","0","17","3","0","0","0","8","34",1960,"10.0",".382","0",".195","0","0","0","6.7","0","0","0","0","-0.1","0.1","-0.1","-0.034","0","0","0","0"
"31","Hot Rod Hundley","SG","25","MNL","9","0","337","41","122",".336","0","0","0","41","122",".336",".336","24","37",".649","0","0","61","55","0","0","0","18","106",1960,"11.9",".383","0",".303","0","0","0","23.8","0","0","0","0","-0.2","0.2","0.0","-0.004","0","0","0","0"
"32","Andy Johnson","SF","27","PHW","9","0","183","28","67",".418","0","0","0","28","67",".418",".418","24","47",".511","0","0","45","21","0","0","0","26","80",1960,"13.9",".456","0",".701","0","0","0","14.5","0","0","0","0","0.2","0.3","0.5",".125","0","0","0","0"
"33","K.C. Jones*","PG","27","BOS","13","0","232","27","80",".338","0","0","0","27","80",".338",".338","17","22",".773","0","0","45","14","0","0","0","28","71",1960,"8.0",".396","0",".275","0","0","0","7.4","0","0","0","0","-0.1","0.4","0.3",".056","0","0","0","0"
"34","Sam Jones*","SF","26","BOS","13","0","197","45","117",".385","0","0","0","45","117",".385",".385","17","21",".810","0","0","41","18","0","0","0","15","107",1960,"15.1",".424","0",".179","0","0","0","13.0","0","0","0","0","0.0","0.4","0.4",".098","0","0","0","0"
"35","Red Kerr","C","27","SYR","3","0","104","15","51",".294","0","0","0","15","51",".294",".294","11","12",".917","0","0","25","9","0","0","0","9","41",1960,"9.9",".364","0",".235","0","0","0","11.7","0","0","0","0","-0.2","0.0","-0.2","-0.073","0","0","0","0"
"36","Jim Krebs","C","24","MNL","9","0","157","23","55",".418","0","0","0","23","55",".418",".418","5","10",".500","0","0","47","8","0","0","0","31","51",1960,"9.6",".429","0",".182","0","0","0","7.7","0","0","0","0","0.0","0.1","0.1",".033","0","0","0","0"
"37","Rudy LaRusso","PF","22","MNL","9","0","321","56","132",".424","0","0","0","56","132",".424",".424","27","35",".771","0","0","70","22","0","0","0","34","139",1960,"13.7",".472","0",".265","0","0","0","10.8","0","0","0","0","0.4","0.2","0.6",".088","0","0","0","0"
"38","Slick Leonard*","PG","27","MNL","9","0","207","20","67",".299","0","0","0","20","67",".299",".299","18","28",".643","0","0","10","45","0","0","0","17","58",1960,"9.3",".366","0",".418","0","0","0","30.6","0","0","0","0","-0.2","0.1","-0.1","-0.016","0","0","0","0"
"39","Earl Lloyd*","SF","31","DET","2","0","53","6","24",".250","0","0","0","6","24",".250",".250","5","8",".625","0","0","9","3","0","0","0","11","17",1960,"2.2",".309","0",".333","0","0","0","8.1","0","0","0","0","-0.2","0.0","-0.1","-0.125","0","0","0","0"
"40","Clyde Lovellette*","C","30","STL","14","0","426","95","242",".393","0","0","0","95","242",".393",".393","56","68",".824","0","0","151","39","0","0","0","53","246",1960,"18.1",".452","0",".281","0","0","0","15.3","0","0","0","0","0.5","0.1","0.6",".065","0","0","0","0"
"41","Slater Martin*","PG","34","STL","3","0","58","1","13",".077","0","0","0","1","13",".077",".077","1","4",".250","0","0","3","8","0","0","0","9","3",1960,"-3.2",".102","0",".308","0","0","0","17.1","0","0","0","0","-0.3","0.0","-0.2","-0.206","0","0","0","0"
"42","Johnny McCarthy","SG","25","STL","14","0","566","43","106",".406","0","0","0","43","106",".406",".406","27","36",".750","0","0","64","98","0","0","0","49","113",1960,"9.9",".464","0",".340","0","0","0","23.2","0","0","0","0","0.5","0.1","0.6",".050","0","0","0","0"
"43","Dick McGuire*","PG","34","DET","2","0","42","5","12",".417","0","0","0","5","12",".417",".417","1","3",".333","0","0","4","9","0","0","0","3","11",1960,"11.3",".413","0",".250","0","0","0","30.9","0","0","0","0","0.0","0.0","0.1",".058","0","0","0","0"
"44","Jack McMahon","PG","31","STL","2","0","27","2","4",".500","0","0","0","2","4",".500",".500","0","4",".000","0","0","1","3","0","0","0","5","4",1960,"1.4",".347","0","1.000","0","0","0","14.8","0","0","0","0","0.0","0.0","0.0","-0.030","0","0","0","0"
"45","Shellie McMillon","SF","23","DET","2","0","47","8","21",".381","0","0","0","8","21",".381",".381","4","5",".800","0","0","16","2","0","0","0","5","20",1960,"13.6",".431","0",".238","0","0","0","6.6","0","0","0","0","0.0","0.0","0.1",".055","0","0","0","0"
"46","Chuck Noble","SG","28","DET","2","0","61","7","26",".269","0","0","0","7","26",".269",".269","0","0","0","0","0","9","13","0","0","0","6","14",1960,"6.6",".269","0",".000","0","0","0","30.5","0","0","0","0","-0.2","0.1","-0.1","-0.107","0","0","0","0"
"47","Bob Pettit*","PF","27","STL","14","0","576","129","292",".442","0","0","0","129","292",".442",".442","107","142",".754","0","0","221","52","0","0","0","43","365",1960,"23.4",".515","0",".486","0","0","0","15.1","0","0","0","0","1.9","0.2","2.1",".172","0","0","0","0"
"48","Dave Piontek","SF","25","STL","14","0","220","27","79",".342","0","0","0","27","79",".342",".342","18","25",".720","0","0","41","18","0","0","0","28","72",1960,"8.2",".400","0",".316","0","0","0","11.7","0","0","0","0","-0.1","0.0","-0.1","-0.014","0","0","0","0"
"49","Frank Ramsey*","SG","28","BOS","13","0","459","81","196",".413","0","0","0","81","196",".413",".413","55","63",".873","0","0","100","27","0","0","0","51","217",1960,"14.7",".485","0",".321","0","0","0","7.8","0","0","0","0","0.8","0.8","1.6",".169","0","0","0","0"
"50","John Richter","C","22","BOS","8","0","95","15","38",".395","0","0","0","15","38",".395",".395","5","14",".357","0","0","29","2","0","0","0","18","35",1960,"8.5",".396","0",".368","0","0","0","2.7","0","0","0","0","-0.1","0.2","0.1",".054","0","0","0","0"
"51","Guy Rodgers*","PG","24","PHW","9","0","370","49","136",".360","0","0","0","49","136",".360",".360","20","36",".556","0","0","77","54","0","0","0","39","118",1960,"10.7",".389","0",".265","0","0","0","17.9","0","0","0","0","-0.2","0.6","0.4",".050","0","0","0","0"
"52","Joe Ruklick","PF","21","PHW","4","0","15","2","9",".222","0","0","0","2","9",".222",".222","0","0","0","0","0","5","0","0","0","0","3","4",1960,"-1.7",".222","0",".000","0","0","0","0.0","0","0","0","0","-0.1","0.0","-0.1","-0.258","0","0","0","0"
"53","Bill Russell*","C","25","BOS","13","0","572","94","206",".456","0","0","0","94","206",".456",".456","53","75",".707","0","0","336","38","0","0","0","38","241",1960,"22.1",".504","0",".364","0","0","0","8.7","0","0","0","0","1.1","1.8","3.0",".249","0","0","0","0"
"54","Woody Sauldsberry","PF","25","PHW","9","0","298","54","159",".340","0","0","0","54","159",".340",".340","8","14",".571","0","0","64","12","0","0","0","40","116",1960,"6.5",".351","0",".088","0","0","0","5.3","0","0","0","0","-0.7","0.3","-0.3","-0.050","0","0","0","0"
"55","Dolph Schayes*","PF","31","SYR","3","0","126","30","66",".455","0","0","0","30","66",".455",".455","28","30",".933","0","0","48","8","0","0","0","10","88",1960,"25.5",".556","0",".455","0","0","0","9.9","0","0","0","0","0.6","0.0","0.6",".220","0","0","0","0"
"56","Frank Selvy","SG","27","MNL","9","0","330","55","153",".359","0","0","0","55","153",".359",".359","31","44",".705","0","0","55","29","0","0","0","21","141",1960,"11.6",".409","0",".288","0","0","0","13.7","0","0","0","0","-0.1","0.1","0.0",".005","0","0","0","0"
"57","Chuck Share","C","32","MNL","9","0","123","6","14",".429","0","0","0","6","14",".429",".429","10","11",".909","0","0","34","5","0","0","0","26","22",1960,"8.0",".584","0",".786","0","0","0","5.4","0","0","0","0","0.2","0.1","0.3",".098","0","0","0","0"
"58","Bill Sharman*","SG","33","BOS","13","0","364","88","209",".421","0","0","0","88","209",".421",".421","43","53",".811","0","0","45","20","0","0","0","22","219",1960,"16.0",".471","0",".254","0","0","0","8.0","0","0","0","0","0.6","0.5","1.1",".150","0","0","0","0"
"59","Gene Shue","PG","28","DET","2","0","89","15","38",".395","0","0","0","15","38",".395",".395","18","20",".900","0","0","12","6","0","0","0","5","48",1960,"16.7",".513","0",".526","0","0","0","10.5","0","0","0","0","0.2","0.1","0.3",".164","0","0","0","0"
"60","George Yardley*","SF","31","SYR","3","0","88","15","39",".385","0","0","0","15","39",".385",".385","10","12",".833","0","0","17","1","0","0","0","9","40",1960,"10.9",".452","0",".308","0","0","0","1.6","0","0","0","0","0.1","0.0","0.1",".037","0","0","0","0"
