"","Player","Eff","Vol","allstar","Yr","x3PAVG","x2PAVG","xFTAVG","PTS","TRB","AST","STL","BLK","ASTtTOV","SPBtPFR","PER","WS","OWS","DWS","TS","FTr"
"1","Zaid Abdul-Aziz",-0.509032486818092,-0.680250663346016,0,1970,0,29.0798998627673,21.2540226485707,31.4686207542821,59.645087454685,15.6586332228815,0,0,0,0,40.246449330183,34.1342437223177,29.422514619883,44.2017543859649,39.7318713450292,45.0201754385965
"2","Kareem Abdul-Jabbar",1.65938192070949,6.14483090154394,1,1970,0,97.9639595620833,0.751113036754712,95.8457256952958,88.2300341222036,64.9622074744289,0,0,0,0,100,91.355918593155,88.608971616032,76.4177720724576,71.459649122807,58.8040935672515
"3","Rick Adelman",-0.439167430993486,-1.22623713316353,0,1970,0,24.8739504634119,48.4289561116413,31.7867716787276,19.1486257120932,54.8609199915357,0,0,0,0,11.6322960939966,30.788063990978,18.9672096908939,46.3418546365915,31.7143274853801,52.9029239766082
"4","Lucius Allen",-0.0783748150201872,-0.386138614065343,0,1970,0,30.7642168341497,40.0951245657815,42.3159116050396,21.9845113033968,66.4568938206913,0,0,0,0,45.5936161323214,36.0313548111971,44.7246588693957,20.9941520467836,49.3114035087719,49.8713450292398
"5","Wally Anderzunas",-0.968846576306953,-2.61450725724788,0,1970,0,31.9454205085206,31.1227690764399,13.977716809314,15.0011667039531,2.29264401742632,0,0,0,0,8.42920820223188,10.3475410567986,16.0984848484848,10.6993620414673,26.6131578947368,29.3470760233918
"6","John Arthurs",-0.285637200092808,-2.43157251077581,0,1970,0,43.0887193938558,43.0563644754898,12.1161697898039,8.13373073434993,30.1227190608404,0,0,0,0,3.90422823318013,15.9413567615254,15.8060871876661,15.1430090377459,25.4359649122807,62.0932748538012
"7","Al Attles",0.3002090126791,-1.4949948607914,0,1970,0,27.9615658156521,27.6554731057806,19.3368942784274,12.3592918948956,54.1676299093267,0,0,0,0,13.5213502736904,28.2937255008958,23.6184210526316,37.4081871345029,33.183918128655,76.4880116959064
"8","Jim Barnes",-0.724102902338045,-1.51709501092501,0,1970,0,20.1693545416873,47.7767026327639,23.4207215743994,41.2879689969473,12.187390922846,0,0,0,0,24.8536739675786,24.9588460524042,21.4565770486823,32.3328017012228,33.8187134502924,33.4634502923977
"9","Dick Barnett",0.246283288478141,1.44665724814143,0,1970,0,62.9024824022546,28.9688394679148,60.9754645904144,22.8141491941235,60.5964941517335,0,0,0,0,60.8012839640655,66.5609230374042,59.0928540864356,69.3950934246185,60.0105263157895,37.5798245614035
"10","Jim Barnett",0.337422236711821,1.06094419014015,0,1970,0,36.1788242063646,70.3966436409994,60.6581511704771,35.2044799026223,59.7555878776981,0,0,0,0,56.6391520444222,58.7756018480624,56.047149122807,56.2366959064328,58.3985380116959,52.2681286549708
"11","Johnny Baum",-3.1103770960635,-3.47830452032382,0,1970,0,45.1406172351967,44.2357720646744,6.12882719285582,8.59066973618057,0.87719298245614,0,0,0,0,1.19130769392829,2.50288759742799,4.64181286549707,3.21637426900585,14.5271929824561,1.16959064327485
"12","Elgin Baylor",0.870663873320678,4.16994247782867,1,1970,0,68.3577537429758,64.5607652890377,85.5935794927384,73.1338149294806,75.8881097326038,0,0,0,0,52.4073977662865,85.9680954589688,79.2397660818713,80.6608187134503,67.2008771929825,45.3625730994152
"13","Butch Beard",0.859703611012502,-1.25232294200991,0,1970,0,52.6997457365506,65.6996399191556,28.4016713141306,15.5129528194544,32.9112725077702,0,0,0,0,27.7652869947261,38.7619028130201,51.2518274853801,11.3523391812865,67.9356725146199,60.2736842105263
"14","Walt Bellamy",1.33975053762224,0.781772261357392,0,1970,0,75.0098526185312,1.59722447339515,48.4248651132631,67.2793803628149,35.9618613348923,0,0,0,0,55.8337745289198,55.6262186593651,62.7216115182471,29.6463098674957,70.4324561403509,75.753216374269
"15","Dave Bing",0.592108785961958,2.20528526878195,0,1970,0,21.6806497681103,76.0650875253467,83.2096590545224,39.0820187724212,79.8620514194222,0,0,0,0,68.2164443961919,63.6463307049376,67.9490392648287,30.6021720969089,60.3529239766082,64.7976608187135
"16","John Block",0.0640576667618016,1.00010409826396,0,1970,0,23.783519809399,67.3287410761067,58.6934507853433,59.052226268869,32.5649371736069,0,0,0,0,57.2442286302215,55.9528150941655,50.8522322065326,61.9351019825988,53.2201754385965,49.1865497076023
"17","Tom Boerwinkle",-0.513639272278843,1.36756794513349,0,1970,0,36.8814252617699,21.8938875971791,43.9294243982991,81.129986857541,49.7330034048844,0,0,0,0,59.6293172022667,52.3201832702256,36.7893112410656,69.9883040935673,44.0830409356725,32.7286549707602
"18","Bob Boozer",1.03424260242577,1.27559306708444,0,1970,0,70.050812278116,75.75853573179,62.1269712959262,66.4291601239423,25.4939372619433,0,0,0,0,64.724907659892,60.8416667165771,66.1683426044787,32.9774639851662,69.062865497076,39.5842105263158
"19","Nate Bowman",-0.739559082929829,-1.86238026358303,0,1970,0,33.755350541165,20.9402586119928,10.8289285843935,28.2046871830154,9.2584030435614,0,0,0,0,16.997844333227,26.4836389689736,18.5631903833658,41.5321637426901,29.2599415204678,43.9929824561404
"20","Bill Bradley",-0.361962724940544,1.12219728466749,0,1970,0,49.3053434656284,66.1717430498731,58.3109276393896,32.1992285140938,63.7747981471492,0,0,0,0,44.3145780888088,61.6647397918052,51.6098236885747,72.5034476739111,50.6309941520468,15.6479532163743
"21","Bill Bridges",1.121369719349,2.7709818059544,1,1970,0,61.5523394338203,42.3460806677867,60.3320439532038,87.6396561060157,66.0826596899706,0,0,0,0,78.5975800471705,65.4849089622107,64.989837398374,50.01540436457,67.5432748538012,69.5216374269006
