"","stat","loading","year"
"1","x3PAVG",0,1971
"2","x2PAVG",0.56384818281835,1971
"3","xFTAVG",0.0285405977244096,1971
"4","ASTtTOV",0,1971
"5","SPBtPFR",6.93889390390723e-18,1971
"6","TS",0.685193497213017,1971
"7","FTr",0.460185323963046,1971
"8","PTS",0.413398785194922,1971
"9","TRB",0.318459499659533,1971
"10","AST",0.320700167293961,1971
"11","STL",4.33680868994202e-19,1971
"12","BLK",0,1971
"13","PER",0.422313782881427,1971
"14","WS",0.421009346293129,1971
"15","OWS",0.375823565913849,1971
"16","DWS",0.357764224873867,1971
