"","stat","loading","year"
"1","x3PAVG",0,1952
"2","x2PAVG",0.578125109411731,1952
"3","xFTAVG",0.276857334822419,1952
"4","ASTtTOV",2.77555756156289e-17,1952
"5","SPBtPFR",1.0842021724855e-19,1952
"6","TS",0.635906841049451,1952
"7","FTr",0.429818407620252,1952
"8","PTS",0.411890588182236,1952
"9","TRB",0.353436178982982,1952
"10","AST",0.310351596494669,1952
"11","STL",0,1952
"12","BLK",0,1952
"13","PER",0.432995115317892,1952
"14","WS",0.418027170555504,1952
"15","OWS",0.374765744156528,1952
"16","DWS",0.326236186069266,1952
"17","x3PAVG",0,1953
"18","x2PAVG",0.526581616583137,1953
"19","xFTAVG",0.020245489757486,1953
"20","ASTtTOV",2.77555756156289e-17,1953
"21","SPBtPFR",0,1953
"22","TS",0.652387852077211,1953
"23","FTr",0.544694420462751,1953
"24","PTS",0.410472872586243,1953
"25","TRB",0.357810389139284,1953
"26","AST",0.299087402645101,1953
"27","STL",4.33680868994202e-19,1953
"28","BLK",6.7762635780344e-21,1953
"29","PER",0.424141361716413,1953
"30","WS",0.411969003370296,1953
"31","OWS",0.367592893817917,1953
"32","DWS",0.359571386280667,1953
"33","x3PAVG",0,1954
"34","x2PAVG",0.502843403640589,1954
"35","xFTAVG",0.126638316572245,1954
"36","ASTtTOV",1.11022302462516e-16,1954
"37","SPBtPFR",0,1954
"38","TS",0.646650153116619,1954
"39","FTr",0.55942365669066,1954
"40","PTS",0.418098571406449,1954
"41","TRB",0.353282744570479,1954
"42","AST",0.291285517539967,1954
"43","STL",2.16840434497101e-19,1954
"44","BLK",0,1954
"45","PER",0.425583436089081,1954
"46","WS",0.417653841457552,1954
"47","OWS",0.381866392043085,1954
"48","DWS",0.337875273612125,1954
"49","x3PAVG",0,1955
"50","x2PAVG",0.617683126553467,1955
"51","xFTAVG",0.395603765190684,1955
"52","ASTtTOV",0,1955
"53","SPBtPFR",0,1955
"54","TS",0.618814987066121,1955
"55","FTr",0.281128490054716,1955
"56","PTS",0.409587201511846,1955
"57","TRB",0.369257256635958,1955
"58","AST",0.248739643992238,1955
"59","STL",0,1955
"60","BLK",6.7762635780344e-21,1955
"61","PER",0.426960331529809,1955
"62","WS",0.419872323014455,1955
"63","OWS",0.386682392984407,1955
"64","DWS",0.354830701755427,1955
"65","x3PAVG",0,1956
"66","x2PAVG",0.519328094747904,1956
"67","xFTAVG",0.329466473555925,1956
"68","ASTtTOV",0,1956
"69","SPBtPFR",4.33680868994202e-19,1956
"70","TS",0.619272105128296,1956
"71","FTr",0.488110881478894,1956
"72","PTS",0.426538613610602,1956
"73","TRB",0.372647007541069,1956
"74","AST",0.23194346487968,1956
"75","STL",2.16840434497101e-19,1956
"76","BLK",0,1956
"77","PER",0.435402031254893,1956
"78","WS",0.422733341308784,1956
"79","OWS",0.370757218541735,1956
"80","DWS",0.345921849835567,1956
"81","x3PAVG",0,1957
"82","x2PAVG",0.498289108009412,1957
"83","xFTAVG",0.384303608609691,1957
"84","ASTtTOV",2.77555756156289e-17,1957
"85","SPBtPFR",0,1957
"86","TS",0.613665972742201,1957
"87","FTr",0.47689912470786,1957
"88","PTS",0.43195314718783,1957
"89","TRB",0.367691209089595,1957
"90","AST",0.249710971251325,1957
"91","STL",0,1957
"92","BLK",1.35525271560688e-20,1957
"93","PER",0.422964210534481,1957
"94","WS",0.424564355404775,1957
"95","OWS",0.368826277132577,1957
"96","DWS",0.347386882672151,1957
"97","x3PAVG",0,1958
"98","x2PAVG",0.53765396989,1958
"99","xFTAVG",0.440065511783055,1958
"100","ASTtTOV",1.38777878078145e-17,1958
"101","SPBtPFR",3.46944695195361e-18,1958
"102","TS",0.575740437708075,1958
"103","FTr",0.431037704137764,1958
"104","PTS",0.418775065326964,1958
"105","TRB",0.367476396460637,1958
"106","AST",0.240250340559047,1958
"107","STL",0,1958
"108","BLK",2.71050543121376e-20,1958
"109","PER",0.430396735314679,1958
"110","WS",0.421631387643566,1958
"111","OWS",0.377176164767083,1958
"112","DWS",0.355797808427463,1958
"113","x3PAVG",0,1959
"114","x2PAVG",0.620887884757582,1959
"115","xFTAVG",0.535833159431993,1959
"116","ASTtTOV",0,1959
"117","SPBtPFR",2.16840434497101e-19,1959
"118","TS",0.451870333324789,1959
"119","FTr",0.350990401115655,1959
"120","PTS",0.417179650616624,1959
"121","TRB",0.357510941411145,1959
"122","AST",0.255626400134949,1959
"123","STL",0,1959
"124","BLK",0,1959
"125","PER",0.430138696563607,1959
"126","WS",0.425924108353569,1959
"127","OWS",0.383883739560261,1959
"128","DWS",0.34497078076232,1959
"129","x3PAVG",0,1960
"130","x2PAVG",0.497309956100611,1960
"131","xFTAVG",0.136697561296704,1960
"132","ASTtTOV",0,1960
"133","SPBtPFR",0,1960
"134","TS",0.649684113860036,1960
"135","FTr",0.558486469394417,1960
"136","PTS",0.421554685142512,1960
"137","TRB",0.370642349216211,1960
"138","AST",0.22631855200393,1960
"139","STL",0,1960
"140","BLK",2.71050543121376e-20,1960
"141","PER",0.430468042436178,1960
"142","WS",0.429719603729612,1960
"143","OWS",0.384142991599506,1960
"144","DWS",0.340834707794471,1960
"145","x3PAVG",0,1961
"146","x2PAVG",0.586950566326775,1961
"147","xFTAVG",0.0713816259030398,1961
"148","ASTtTOV",5.55111512312578e-17,1961
"149","SPBtPFR",1.38777878078145e-17,1961
"150","TS",0.635346389740903,1961
"151","FTr",0.496717888962455,1961
"152","PTS",0.426750356192281,1961
"153","TRB",0.364802844148067,1961
"154","AST",0.268003962263556,1961
"155","STL",4.33680868994202e-19,1961
"156","BLK",0,1961
"157","PER",0.433461749341518,1961
"158","WS",0.429922256744118,1961
"159","OWS",0.386544710665519,1961
"160","DWS",0.301393175557481,1961
"161","x3PAVG",0,1962
"162","x2PAVG",0.555389064855751,1962
"163","xFTAVG",0.203710285645717,1962
"164","ASTtTOV",5.55111512312578e-17,1962
"165","SPBtPFR",0,1962
"166","TS",0.603255787379798,1962
"167","FTr",0.534908927906026,1962
"168","PTS",0.41394809345788,1962
"169","TRB",0.372863203380077,1962
"170","AST",0.260247536822088,1962
"171","STL",0,1962
"172","BLK",0,1962
"173","PER",0.417723915186479,1962
"174","WS",0.426663477835617,1962
"175","OWS",0.397950088397202,1962
"176","DWS",0.327096257350836,1962
"177","x3PAVG",0,1963
"178","x2PAVG",0.67055383416121,1963
"179","xFTAVG",0.0849042107991339,1963
"180","ASTtTOV",2.77555756156289e-17,1963
"181","SPBtPFR",6.93889390390723e-18,1963
"182","TS",0.619099940458377,1963
