"","abb","hex"
"1","ATL","#e03a3e"
"2","BAL","#000099"
"3","BLB","#000099"
"4","BOS","#008248"
"5","BRK","black"
"6","CHA","#ff8000"
"7","CHH","#00788c"
"8","CHI","#ce1141"
"9","CHO","#00788c"
"10","CIN","#000099"
"11","CLE","#6f263d"
"12","DAL","#007dc5"
"13","DEN","#244289"
"14","DET","#1d428a"
"15","FTW","#c8102e"
"16","GSW","#006bb6"
"17","HOU","#ce1141"
"18","IND","#002d62"
"19","INO","#002d62"
"20","KCK","#006bb6"
"21","LAC","#c8102e"
"22","LAL","#552583"
"23","MEM","#5d76a9"
"24","MIA","#98002e"
"25","MIL","#00471b"
"26","MIN","#0c2340"
"27","MLH","#AFEEEE"
"28","MNL","#819bca"
"29","NJN","#ce1141"
"30","NOH","#1a75ff"
"31","NOP","#002b5c"
"32","NYK","#f58426"
"33","OKC","#f05133"
"34","ORL","#0b77bd"
"35","PHI","#ed174c"
"36","PHO","#1d1160"
"37","PHW","#000099"
"38","POR","#cf0a2c"
"39","ROC","#000099"
"40","SAC","#5b2b82"
"41","SAS","black"
"42","SDC","#c8102e"
"43","SDR","#00471b"
"44","SEA","#00653A"
"45","SFW","#1D428A"
"46","STL","#c8102e"
"47","SYR","#000099"
"48","TOR","#ce1141"
"49","TOT","black"
"50","UTA","#0d2240"
"51","VAN","#5d76a9"
"52","WAS","#002b5c"
"53","WSB","#002b5c"
