"","Tm","W","Yr"
"1","CHI",1,1998
"2","UTA",0.866666666666667,1998
"3","IND",0.666666666666667,1998
"4","LAL",0.466666666666667,1998
"5","CHO",0.266666666666667,1998
"6","NYK",0.266666666666667,1998
"7","SAS",0.266666666666667,1998
"8","SEA",0.266666666666667,1998
"9","HOU",0.133333333333333,1998
"10","MIA",0.133333333333333,1998
"11","MIN",0.133333333333333,1998
"12","ATL",0.0666666666666667,1998
"13","CLE",0.0666666666666667,1998
"14","PHO",0.0666666666666667,1998
"15","POR",0.0666666666666667,1998
