"","Tm","W","Yr"
"1","TOR",1,2019
"2","GSW",1,2018
"3","GSW",1,2017
"4","CLE",1,2016
"5","GSW",1,2015
"6","SAS",1,2014
"7","MIA",1,2013
"8","MIA",1,2012
"9","DAL",1,2011
"10","LAL",1,2010
"11","LAL",1,2009
"12","BOS",1,2008
"13","SAS",1,2007
"14","MIA",1,2006
"15","SAS",1,2005
"16","DET",1,2004
"17","SAS",1,2003
"18","LAL",1,2002
"19","LAL",1,2001
"20","LAL",1,2000
"21","SAS",1,1999
"22","CHI",1,1998
"23","CHI",1,1997
"24","CHI",1,1996
"25","HOU",1,1995
"26","HOU",1,1994
"27","CHI",1,1993
"28","CHI",1,1992
"29","CHI",1,1991
"30","DET",1,1990
"31","DET",1,1989
"32","LAL",1,1988
"33","LAL",1,1987
"34","BOS",1,1986
"35","LAL",1,1985
"36","BOS",1,1984
"37","PHI",1,1983
"38","LAL",1,1982
"39","PHI",1,1982
"40","BOS",1,1981
"41","HOU",1,1981
"42","LAL",1,1980
"43","PHI",1,1980
"44","SEA",1,1979
"45","WSB",1,1978
"46","POR",1,1977
"47","BOS",1,1976
"48","GSW",1,1975
"49","BOS",1,1974
"50","NYK",1,1973
"51","LAL",1,1972
"52","MIL",1,1971
"53","NYK",1,1970
"54","BOS",1,1969
"55","BOS",1,1968
"56","PHI",1,1967
"57","BOS",1,1966
"58","BOS",1,1965
"59","BOS",1,1964
"60","BOS",1,1963
"61","BOS",1,1962
"62","BOS",1,1961
"63","BOS",1,1960
"64","BOS",1,1959
"65","STL",1,1958
"66","STL",1,1957
"67","PHW",1,1956
"68","SYR",1,1955
"69","MNL",1,1954
"70","SYR",1,1954
"71","MNL",1,1953
"72","MNL",1,1952
"73","ROC",1,1951
"74","MNL",1,1950
"75","GSW",0.9375,2016
"76","SAS",0.9375,2013
"77","BOS",0.9375,2010
"78","DET",0.9375,2005
"79","NYK",0.933333333333333,1994
"80","DET",0.933333333333333,1988
"81","LAL",0.933333333333333,1984
"82","SEA",0.928571428571429,1978
"83","MIL",0.916666666666667,1974
"84","LAL",0.916666666666667,1970
"85","LAL",0.916666666666667,1969
"86","NYK",0.888888888888889,1952
"87","NYK",0.888888888888889,1951
"88","GSW",0.875,2019
"89","CLE",0.875,2015
"90","MIA",0.875,2011
"91","LAL",0.875,2008
"92","DAL",0.875,2006
"93","NJN",0.875,2003
"94","LAL",0.875,1962
"95","STL",0.875,1960
"96","BOS",0.875,1957
"97","IND",0.866666666666667,2000
"98","UTA",0.866666666666667,1998
"99","UTA",0.866666666666667,1997
"100","SEA",0.866666666666667,1996
"101","PHO",0.866666666666667,1993
"102","POR",0.866666666666667,1992
"103","BOS",0.866666666666667,1987
"104","HOU",0.866666666666667,1986
"105","BOS",0.866666666666667,1985
"106","FTW",0.857142857142857,1955
"107","PHO",0.833333333333333,1976
"108","LAL",0.833333333333333,1968
"109","SFW",0.818181818181818,1967
"110","CLE",0.8125,2017
"111","MIA",0.8125,2014
"112","OKC",0.8125,2012
"113","ORL",0.8125,2009
"114","LAL",0.8125,2004
"115","PHI",0.8,2001
"116","NYK",0.8,1999
"117","LAL",0.8,1991
"118","POR",0.8,1990
"119","CLE",0.75,2018
"120","CLE",0.75,2007
"121","PHI",0.75,1981
"122","PHO",0.75,1979
"123","WSB",0.75,1979
"124","LAL",0.75,1973
"125","NYK",0.75,1972
"126","PHI",0.75,1965
"127","STL",0.75,1964
"128","CIN",0.75,1963
"129","LAL",0.75,1963
"130","STL",0.75,1963
"131","PHW",0.75,1962
"132","LAL",0.75,1961
"133","MNL",0.75,1959
"134","BOS",0.75,1958
"135","NJN",0.733333333333333,2002
"136","ORL",0.733333333333333,1995
"137","LAL",0.733333333333333,1989
"138","PHI",0.714285714285714,1977
"139","SYR",0.714285714285714,1956
"140","BOS",0.6875,2018
"141","HOU",0.6875,2018
"142","OKC",0.6875,2016
"143","IND",0.6875,2013
"144","BOS",0.6875,2012
"145","MIA",0.6875,2005
"146","SAC",0.666666666666667,2002
"147","MIL",0.666666666666667,2001
"148","POR",0.666666666666667,2000
"149","IND",0.666666666666667,1998
"150","UTA",0.666666666666667,1996
"151","IND",0.666666666666667,1995
"152","IND",0.666666666666667,1994
"153","SEA",0.666666666666667,1993
"154","CHI",0.666666666666667,1990
"155","DAL",0.666666666666667,1988
"156","DET",0.666666666666667,1987
"157","LAL",0.666666666666667,1983
"158","WSB",0.666666666666667,1975
"159","BLB",0.666666666666667,1971
"160","NYK",0.666666666666667,1953
"161","LAL",0.636363636363636,1966
"162","MIL",0.625,2019
"163","TOR",0.625,2016
"164","IND",0.625,2014
"165","OKC",0.625,2014
"166","SAS",0.625,2012
"167","ORL",0.625,2010
"168","PHO",0.625,2010
"169","CLE",0.625,2009
"170","DEN",0.625,2009
"171","DET",0.625,2008
"172","DET",0.625,2007
"173","DET",0.625,2006
"174","PHO",0.625,2006
"175","IND",0.625,2004
"176","MIN",0.625,2004
"177","DAL",0.625,2003
"178","BLB",0.625,1965
"179","LAL",0.625,1965
"180","SFW",0.625,1964
"181","DET",0.625,1962
"182","STL",0.625,1961
"183","MNL",0.625,1960
"184","SYR",0.625,1959
"185","BOS",0.6,2002
"186","NYK",0.6,2000
"187","IND",0.6,1999
"188","HOU",0.6,1997
"189","SAS",0.6,1995
"190","NYK",0.6,1993
"191","CLE",0.6,1992
