"","Tm","W","Yr","Yr.S"
"1","TOR",16,2019,2019
"2","GSW",16,2018,2018
"3","GSW",16,2017,2017
"4","CLE",16,2016,2016
"5","GSW",16,2015,2015
"6","SAS",16,2014,2014
"7","MIA",16,2013,2013
"8","MIA",16,2012,2012
"9","DAL",16,2011,2011
"10","LAL",16,2010,2010
"11","LAL",16,2009,2009
"12","BOS",16,2008,2008
"13","SAS",16,2007,2007
"14","MIA",16,2006,2006
"15","SAS",16,2005,2005
"16","DET",16,2004,2004
"17","SAS",16,2003,2003
"18","LAL",16,2002,2002
"19","LAL",16,2001,2001
"20","LAL",16,2000,2000
"21","SAS",16,1999,1999
"22","CHI",16,1998,1998
"23","CHI",16,1997,1997
"24","CHI",16,1996,1996
"25","HOU",16,1995,1995
"26","HOU",16,1994,1994
"27","CHI",16,1993,1993
"28","CHI",16,1992,1992
"29","CHI",16,1991,1991
"30","DET",16,1990,1990
"31","DET",16,1989,1989
"32","LAL",16,1988,1988
"33","LAL",16,1987,1987
"34","BOS",16,1986,1986
"35","LAL",16,1985,1985
"36","BOS",16,1984,1984
"37","PHI",16,1983,1983
"38","LAL",16,1982,1982
"39","PHI",16,1982,1982
"40","BOS",16,1981,1981
"41","HOU",16,1981,1981
"42","LAL",16,1980,1980
"43","PHI",16,1980,1980
"44","SEA",16,1979,1979
"45","WSB",16,1978,1978
"46","POR",16,1977,1977
"47","BOS",16,1976,1976
"48","GSW",16,1975,1975
"49","BOS",16,1974,1974
"50","NYK",16,1973,1973
"51","LAL",16,1972,1972
"52","MIL",16,1971,1971
"53","NYK",16,1970,1970
"54","BOS",16,1969,1969
"55","BOS",16,1968,1968
"56","PHI",16,1967,1967
"57","BOS",16,1966,1966
"58","BOS",16,1965,1965
"59","BOS",16,1964,1964
"60","BOS",16,1963,1963
"61","BOS",16,1962,1962
"62","BOS",16,1961,1961
"63","BOS",16,1960,1960
"64","BOS",16,1959,1959
"65","STL",16,1958,1958
"66","STL",16,1957,1957
"67","PHW",16,1956,1956
"68","SYR",16,1955,1955
"69","MNL",16,1954,1954
"70","SYR",16,1954,1954
"71","MNL",16,1953,1953
"72","MNL",16,1952,1952
"73","ROC",16,1951,1951
"74","MNL",16,1950,1950
"75","GSW",15,2016,2016
"76","SAS",15,2013,2013
"77","BOS",15,2010,2010
"78","DET",15,2005,2005
"79","NYK",14.9333333333333,1994,1994
"80","DET",14.9333333333333,1988,1988
"81","LAL",14.9333333333333,1984,1984
"82","SEA",14.8571428571429,1978,1978
"83","MIL",14.6666666666667,1974,1974
"84","LAL",14.6666666666667,1970,1970
"85","LAL",14.6666666666667,1969,1969
"86","NYK",14.2222222222222,1952,1952
"87","NYK",14.2222222222222,1951,1951
"88","GSW",14,2019,2019
"89","CLE",14,2015,2015
"90","MIA",14,2011,2011
"91","LAL",14,2008,2008
"92","DAL",14,2006,2006
"93","NJN",14,2003,2003
"94","LAL",14,1962,1962
"95","STL",14,1960,1960
"96","BOS",14,1957,1957
"97","IND",13.8666666666667,2000,2000
"98","UTA",13.8666666666667,1998,1998
"99","UTA",13.8666666666667,1997,1997
"100","SEA",13.8666666666667,1996,1996
"101","PHO",13.8666666666667,1993,1993
"102","POR",13.8666666666667,1992,1992
"103","BOS",13.8666666666667,1987,1987
"104","HOU",13.8666666666667,1986,1986
"105","BOS",13.8666666666667,1985,1985
"106","FTW",13.7142857142857,1955,1955
"107","PHO",13.3333333333333,1976,1976
"108","LAL",13.3333333333333,1968,1968
"109","SFW",13.0909090909091,1967,1967
"110","CLE",13,2017,2017
"111","MIA",13,2014,2014
"112","OKC",13,2012,2012
"113","ORL",13,2009,2009
"114","LAL",13,2004,2004
"115","PHI",12.8,2001,2001
"116","NYK",12.8,1999,1999
"117","LAL",12.8,1991,1991
"118","POR",12.8,1990,1990
"119","CLE",12,2018,2018
"120","CLE",12,2007,2007
"121","PHI",12,1981,1981
"122","PHO",12,1979,1979
"123","WSB",12,1979,1979
"124","LAL",12,1973,1973
"125","NYK",12,1972,1972
"126","PHI",12,1965,1965
"127","STL",12,1964,1964
"128","CIN",12,1963,1963
"129","LAL",12,1963,1963
"130","STL",12,1963,1963
"131","PHW",12,1962,1962
"132","LAL",12,1961,1961
"133","MNL",12,1959,1959
"134","BOS",12,1958,1958
"135","NJN",11.7333333333333,2002,2002
"136","ORL",11.7333333333333,1995,1995
"137","LAL",11.7333333333333,1989,1989
"138","PHI",11.4285714285714,1977,1977
"139","SYR",11.4285714285714,1956,1956
"140","BOS",11,2018,2018
"141","HOU",11,2018,2018
"142","OKC",11,2016,2016
"143","IND",11,2013,2013
"144","BOS",11,2012,2012
"145","MIA",11,2005,2005
"146","SAC",10.6666666666667,2002,2002
"147","MIL",10.6666666666667,2001,2001
"148","POR",10.6666666666667,2000,2000
"149","IND",10.6666666666667,1998,1998
"150","UTA",10.6666666666667,1996,1996
"151","IND",10.6666666666667,1995,1995
"152","IND",10.6666666666667,1994,1994
"153","SEA",10.6666666666667,1993,1993
"154","CHI",10.6666666666667,1990,1990
"155","DAL",10.6666666666667,1988,1988
"156","DET",10.6666666666667,1987,1987
"157","LAL",10.6666666666667,1983,1983
"158","WSB",10.6666666666667,1975,1975
"159","BLB",10.6666666666667,1971,1971
"160","NYK",10.6666666666667,1953,1953
"161","LAL",10.1818181818182,1966,1966
"162","MIL",10,2019,2019
"163","TOR",10,2016,2016
"164","IND",10,2014,2014
"165","OKC",10,2014,2014
"166","SAS",10,2012,2012
"167","ORL",10,2010,2010
"168","PHO",10,2010,2010
"169","CLE",10,2009,2009
"170","DEN",10,2009,2009
"171","DET",10,2008,2008
"172","DET",10,2007,2007
"173","DET",10,2006,2006
"174","PHO",10,2006,2006
"175","IND",10,2004,2004
"176","MIN",10,2004,2004
"177","DAL",10,2003,2003
"178","BLB",10,1965,1965
"179","LAL",10,1965,1965
"180","SFW",10,1964,1964
"181","DET",10,1962,1962
"182","STL",10,1961,1961
"183","MNL",10,1960,1960
"184","SYR",10,1959,1959
"185","BOS",9.6,2002,2002
"186","NYK",9.6,2000,2000
"187","IND",9.6,1999,1999
"188","HOU",9.6,1997,1997
"189","SAS",9.6,1995,1995
"190","NYK",9.6,1993,1993
"191","CLE",9.6,1992,1992
"192","UTA",9.6,1992,1992
"193","POR",9.6,1991,1991
"194","PHO",9.6,1990,1990
"195","CHI",9.6,1989,1989
"196","BOS",9.6,1988,1988
"197","PHO",9.6,1984,1984
"198","BOS",9.33333333333333,1982,1982
"199","KCK",9.33333333333333,1981,1981
"200","SEA",9.33333333333333,1980,1980
"201","SAS",9.33333333333333,1979,1979
"202","GSW",9.33333333333333,1976,1976
"203","CHI",9.33333333333333,1975,1975
"204","BOS",9.33333333333333,1973,1973
"205","NYK",9.33333333333333,1971,1971
"206","PHI",9.33333333333333,1968,1968
"207","FTW",9.14285714285714,1956,1956
"208","STL",9.14285714285714,1956,1956
"209","BOS",9,2017,2017
"210","HOU",9,2015,2015
"211","CHI",9,2011,2011
"212","OKC",9,2011,2011
"213","SAS",9,2008,2008
"214","UTA",9,2007,2007
"215","PHO",9,2005,2005
"216","STL",8.72727272727272,1966,1966
"217","SYR",8.72727272727272,1950,1950
"218","MIA",8.53333333333333,1997,1997
"219","UTA",8.53333333333333,1994,1994
"220","LAL",8.53333333333333,1986,1986
"221","DEN",8.53333333333333,1985,1985
"222","PHI",8.53333333333333,1985,1985
"223","MIL",8.53333333333333,1984,1984
"224","POR",8,2019,2019
"225","SAS",8,2017,2017
"226","ATL",8,2015,2015
"227","MEM",8,2013,2013
"228","DET",8,2003,2003
"229","SAS",8,1983,1983
"230","CLE",8,1976,1976
"231","BOS",8,1975,1975
"232","MIL",8,1972,1972
"233","NYK",8,1969,1969
"234","CIN",8,1964,1964
"235","SYR",8,1961,1961
"236","PHW",8,1960,1960
"237","SAS",7.46666666666667,2001,2001
